intended_mapping,count
non-word,68
potential,48
cute,37
twelfth,23
grandchild,21
alcohol,20
bead,20
love,18
be,17
beat,17
guilty,17
spoilt,16
supermarket,16
pat,15
rescue,15
try,15
muddle,14
new,14
peculiar,14
tuck,13
beautiful,12
clapped,12
health,12
pure,12
the (weak form),12
abandon,11
battle,11
bill or bill,11
garden,11
little,11
spoil,11
spoiled,11
their or there or they're,11
bottle,10
feel,10
quality,10
smell,10
spin,10
beauty,9
belt,9
cod,9
commonwealth,9
dropped,9
finally,9
folding,9
good,9
kitchen,9
point,9
queen,9
Christian,8
ability,8
acceptable,8
actually,8
all,8
back,8
budget,8
cheap,8
daughter,8
decided,8
dog,8
girl,8
god,8
in,8
invitations,8
milk,8
producer,8
since,8
topmost,8
trouble,8
use (n),8
wound,8
able,7
about,7
absence,7
actor,7
agree,7
angry,7
banquet,7
button,7
cautious,7
code,7
cool,7
coolth,7
eighth,7
especially,7
leapt,7
not or knot,7
old,7
open,7
plate,7
purchase,7
quick,7
quite,7
reply,7
snatch,7
square,7
squirrel,7
wealth,7
you (weak form),7
April,6
Pole (surname) or pool,6
aircraft,6
apple,6
batman,6
beaten or beeton or beaton,6
big,6
bornborn or bo(u)rn(e),6
caught,6
compare,6
envelope,6
family,6
far,6
fold,6
friends,6
front,6
get,6
had (weak form),6
happiest,6
invite,6
kingdom,6
kitten,6
looked,6
mouse,6
national,6
oat or haute or owt,6
pad,6
partly,6
petrol,6
pupil,6
repeat,6
roundly,6
single,6
software,6
tenth,6
whale or wail or wale,6
worse-case,6
Britney,5
Dan,5
I,5
abandoned,5
absolutely,5
atlas,5
baby,5
bag,5
because,5
better,5
bike,5
bin,5
blight,5
calculation,5
cat,5
click,5
conference,5
cube,5
dense,5
did,5
dry,5
enthusiasm,5
football,5
formula,5
give,5
happy,5
healthy,5
house (n),5
huge,5
husband,5
important,5
improve,5
keep,5
king,5
least,5
like,5
lived,5
middle,5
midnight,5
night-time,5
outward,5
people,5
pin,5
pretty,5
reasonable,5
retry,5
rise,5
ruled,5
rural,5
shorten,5
sold,5
soldier,5
tent,5
time,5
vital,5
we,5
writing,5
Griselda,4
above,4
abroad,4
absorb,4
abuse (n),4
acquire,4
action,4
adult,4
an or un-,4
and,4
awful,4
bent,4
bet,4
bid,4
brightness,4
but,4
chapter,4
coal,4
cord,4
countess,4
cracked,4
creep,4
don't,4
felt,4
fill or Phil,4
flood,4
food,4
footprint,4
found,4
full,4
gladness,4
goal,4
got,4
have (strong form),4
infant,4
intend,4
it,4
jack or Jack,4
last,4
mad,4
map,4
pack,4
partake,4
particular,4
please,4
price,4
rattle,4
rice,4
role,4
rubbed,4
sadness,4
short,4
sleigh or slay,4
spat,4
tend,4
tin,4
to (weak form),4
total,4
trapped,4
twisted,4
will or we'll,4
written,4
Scot(t),3
a (weak form),3
absolute,3
academic,3
accent,3
across,3
act,3
ad,3
alarm,3
alongside,3
anniversary,3
apt,3
at (weak form),3
baggage,3
battery,3
belief,3
believe,3
between,3
black,3
blood,3
book,3
bottom,3
bought,3
boy,3
bridge,3
brother,3
candidate,3
cheese,3
chestnusts,3
clever,3
clicked,3
clothing,3
comfortably,3
consequence,3
cotton,3
course,3
cue,3
decode,3
depart,3
depressed,3
determine,3
direction,3
double,3
duck,3
eleventh,3
even,3
exam,3
example,3
face,3
fast,3
floor,3
gasoline,3
gentle,3
get-together,3
goat,3
guard,3
happen,3
heart,3
hotdog,3
included,3
inform,3
inquire,3
is (strong form),3
kindness,3
language,3
laughing,3
law,3
lean,3
light,3
listen,3
lot,3
lucky,3
mat or Matt,3
meet,3
my,3
normally,3
obvious,3
pan,3
pen,3
picked,3
pill,3
popular,3
right or rite or wright or write,3
road,3
